repo_name,refactors
forcedotcom/salesforcedx-vscode,40
forkcms/forkcms,77
formio/formio.js,93
fourtf/chatterino2,219
fractalide/fractalide,61
fragforce/fragforce.org,12
frappe/erpnext,336
frappe/frappe,211
freeciv/freeciv,97
frida/glib,135
frida/vala,25
fsharp/fsharp,137
fthomas/refined,56
fujicoin/electrum-fjc,112
gabime/spdlog,77
gabyx/ExecutionGraph,85
gamejolt/gamejolt,29
gatling/gatling,70
gatsbyjs/gatsby,409
gcanti/fp-ts,71
gem/oq-engine,789
geneontology/go-site,15
geneweb/geneweb,33
genialis/resolwe-bio,38
genonbeta/TrebleShot,56
gentics/mesh,45
getredash/redash,124
getsentry/sentry-docs,44
gg-net/dwoss,71
gher-ulg/divand.jl,57
ghiscoding/Angular-Slickgrid,168
gift-surg/GIFT-Grab,62
gisma/uavRst,33
git-cola/git-cola,173
gitbucket/gitbucket,49
github-for-unity/Unity,139
github/VisualStudio,378
github/orchestrator,47
gitlabhq/gitlabhq,2542
globbie/knowdy,103
gnu-mcu-eclipse/openocd,104
gobuffalo/buffalo,81
goby-lang/goby,137
gocd/gocd,425
gocd/www.go.cd,18
gonicus/gosa,27
google/closure-compiler,471
google/data-transfer-project,139
google/gapid,223
google/syzkaller,227
google/wuffs,169
googleapis/google-cloud-dotnet,160
googleapis/google-cloud-ruby,73
goreleaser/goreleaser,90
gpac/gpac,36
graknlabs/grakn,206
greenkeeperio/greenkeeper,61
greenriver/boston-cas,34
gregoil/rotest,28
gregr/ina,125
gregsaun/prusa_i3_bear_upgrade,62
gregsdennis/Manatee.Trello,23
groue/GRDB.swift,180
grow/grow,30
grpc/grpc,527
h2o/h2o,117
hande-qmc/hande,31
hardbyte/python-can,69
hashicorp/nomad,335
hashicorp/vault,188
hawkrives/gobbldygook,154
heinrichschiller/heinerCMS,92
hellohaptik/chatbot_ner,83
hep-gc/cloudscheduler,192
heptio/ark,65
heyui/heyui,108
hhkaos/awesome-arcgis,38
highfidelity/hifi_tests,78
hioa-cs/IncludeOS,123
hirakuni45/glfw3_app,63
hiro0218/kiku-theme,34
hlcfan/pokr,33
hluk/CopyQ,47
hmrc/amls-frontend,259
hmrc/assets-frontend,51
houssine78/addons,38
hughsie/fwupd,96
huiyiqun/check_mk,284
hyperblast/beefweb,112
hyperledger/fabric,413
icescrum/iceScrum,117
ihucos/plash,57
ikaros-project/ikaros,25
ilia3101/MLV-App,49
imGraetzl/im_graetzl,38
imma/ubuntu,45
imperial-genomics-facility/data-management-python,49
indico/indico,217
input-output-hk/cardano-sl,480
input-output-hk/daedalus,349
inspirehep/inspire-next,128
intel-analytics/analytics-zoo,68
inviwo/inviwo,134
ioam/holoviews,55
ipfs/go-ipfs,240
itchio/butler,55
iterami/common,78
iteratec/OpenSpeedMonitor,256
ivosh/jcm2018,121
jaamsim/jaamsim,89
jabber-at/hp,83
jackwasey/icd,81
jaffa-projects/jaffa-framework,40
jam1garner/Smash-Forge,280
jcubic/jquery.terminal,29
jdereus/labman,34
jekyll/jekyll,23
jenkinsci/warnings-plugin,209
jesopo/bitbot,165
jgyates/genmon,49
jherby2k/AudioWorks,158
jkomoros/boardgame,158
jobisoft/TbSync,84
jodogne/OrthancMirror,53
johnbillion/query-monitor,64
johntruckenbrodt/pyroSAR,91
jonfroehlich/makeabilitylabwebsite,23
joomla-projects/media-manager-improvement,292
jopamer/swift,1479
joytou/joytou.github.io,11
jtablesaw/tablesaw,169
jumpserver/luna,1
junkerm/specmate,132
kactus-io/kactus,710
kadena-io/pact,190
kaitamkun/frisktol,41
kalaspuff/tomodachi,21
kaltura/kmc-ng,52
karelzak/util-linux,134
kbase/KBaseSearchEngine,75
kbase/narrative,82
kervinck/gigatron-rom,122
keybase/client,693
keybase/kbfs,130
keyboardio/Kaleidoscope,166
kfowler/emacs,302
khs1994-docker/lnmp,16
kiboit/phast,182
killbill/killbill,77
kiwiirc/kiwiirc,101
kmatheussen/radium,107
kotlintest/kotlintest,60
kovidgoyal/kitty,128
kozistr/Awesome-GANs,33
kriztan/Pix-Art-Messenger,81
kubeflow/kubeflow,115
kubernetes/kubernetes,1725
kubernetes/minikube,69
kubernetes/sample-controller,11
kubernetes/sig-release,21
kulshekhar/ts-jest,56
kutsan/dotfiles,117
kvhnuke/etherwallet,51
kythe/kythe,162
l3tnun/EPGStation,14
lagadic/visp,76
lamastex/scalable-data-science,6
lamsfoundation/lams,106
langurmonkey/gaiasky,83
laredoza/.NetScaffolder,84
