name,fork,language,contributors_count,forks_count,network_count,open_issues_count,stargazers_count,subscribers_count,watchers_count
be-lb/sdi-clients,FALSE,TypeScript,3,1,1,0,1,4,1
beagleboard/image-builder,TRUE,Shell,17,77,147,0,94,34,94
beautify-web/js-beautify,FALSE,JavaScript,155,1058,1058,275,5926,221,5926
beeldengeluid/labo-components,FALSE,JavaScript,4,2,2,54,1,8,1
BehavioralInsightsTeam/edx-platform,TRUE,Python,237,0,2293,0,0,2,0
behdad222/DroidPersianCalendar,TRUE,Java,17,0,128,0,0,1,0
belathus/Wanderlust-Renewed,FALSE,,4,2,2,50,12,6,12
BelledonneCommunications/linphone-iphone,FALSE,Objective-C,14,203,203,124,359,53,359
Benau/stk-code,TRUE,C++,93,0,252,0,2,3,2
benkuper/Chataigne,FALSE,C++,3,5,5,1,34,14,34
benlangmuir/swift,TRUE,C++,401,0,7355,0,0,2,0
BenLubar/NodeBB,TRUE,JavaScript,158,0,1971,2,1,0,1
BenTheElder/kubernetes,TRUE,Go,378,0,16475,0,0,1,0
benwbrum/fromthepage,FALSE,Ruby,11,27,27,201,98,15,98
beretta42/fuzix,TRUE,C,26,0,126,0,1,2,1
berkmancenter/mediacloud,FALSE,HTML,14,47,47,80,101,19,101
bertonoronha/cobratoolbox,TRUE,Matlab,70,0,176,0,0,1,0
betaflight/betaflight-configurator,FALSE,JavaScript,111,269,269,68,444,102,444
betzw/mbed-os,TRUE,C,340,0,1759,0,0,0,0
bgd-point/point-app-test,FALSE,HTML,4,5,5,9,2,2,2
bgyori/indra,TRUE,Python,11,1,28,0,0,2,0
BhaveshSGupta/FreeCodeCamp,TRUE,JavaScript,383,0,20800,0,0,1,0
bhollis/DIM,TRUE,TypeScript,72,0,281,0,0,1,0
bhummerstone/azure-quickstart-templates,TRUE,Shell,358,0,6617,0,0,0,0
biancanev/The-Potato-Place,FALSE,HTML,3,1,1,0,1,1,1
biblelamp/JavaExercises,FALSE,Java,2,79,79,2,54,21,54
bigbes/homebrew-core,TRUE,Ruby,420,0,5673,0,0,1,0
bigeasy/compassion,FALSE,JavaScript,1,0,0,4,3,4,3
bigeasy/prolific,FALSE,JavaScript,4,0,0,7,3,2,3
bigendiansmalls/radare2,TRUE,C,367,0,1771,0,0,1,0
bigfish1900/weather,FALSE,HTML,1,0,0,0,0,1,0
